ID	Warehouse_block	Mode_of_Shipment	Customer_care_calls	Customer_rating	Cost_of_the_Product	Prior_purchases	Product_importance	Discount_offered	Weight_in_gms
6245	C	Ship	4	2	201	8	medium	9	5146
6246	F	Ship	5	5	216	4	medium	1	4092
6247	D	Ship	3	3	126	10	low	10	4128
6248	F	Ship	3	1	177	4	low	6	5037
6249	A	Ship	5	2	145	3	medium	2	4836
6250	B	Ship	5	4	258	2	low	8	4200
6251	C	Ship	4	3	273	10	medium	8	4896
6252	F	Ship	4	1	245	3	low	2	5835
6253	D	Ship	5	2	241	2	medium	6	4741
6254	F	Ship	4	1	208	3	low	4	4530
6255	A	Ship	6	1	282	4	low	1	1434
6256	B	Ship	6	5	295	4	medium	5	1963
6257	C	Ship	6	4	255	4	low	7	1869
6258	F	Ship	6	2	292	4	low	2	1565
6259	D	Ship	6	1	244	4	low	5	1867
6260	F	Ship	6	3	306	4	low	10	1372
6261	A	Ship	6	5	258	4	low	5	1558
6262	B	Ship	4	1	265	6	low	9	1753
6263	C	Ship	5	2	227	5	low	3	1242
6264	F	Ship	7	2	276	4	low	9	1022
6265	D	Ship	6	4	244	4	medium	1	1179
6266	F	Ship	4	4	217	6	medium	9	1974
6267	A	Ship	2	1	211	3	low	6	1760
6268	B	Ship	4	5	227	5	low	2	1804
6269	C	Ship	5	5	249	4	medium	2	1727
6270	F	Ship	7	4	302	5	medium	7	1503
6271	D	Ship	6	4	293	6	low	7	1117
6272	F	Ship	5	5	232	3	low	4	1716
6273	A	Ship	6	5	279	4	low	7	1447
6274	B	Ship	6	5	251	4	low	8	1038
6275	C	Ship	6	5	300	5	low	1	1188
6276	F	Road	7	5	133	5	low	3	1544
6277	D	Road	6	5	283	4	low	2	1136
6278	F	Road	7	5	296	4	low	8	1686
6279	A	Road	6	3	261	4	medium	8	1397
6280	B	Road	6	1	286	4	low	3	1747
6281	C	Road	6	3	298	4	low	1	1657
6282	F	Road	6	4	287	4	medium	9	1936
6283	D	Road	6	2	251	4	medium	9	1322
6284	F	Road	5	1	231	5	low	10	1418
6285	A	Road	5	2	249	5	medium	6	1298
6286	B	Road	5	3	244	5	low	3	1174
6287	C	Road	7	2	264	4	medium	6	1688
6288	F	Road	5	2	254	5	medium	6	1002
6289	D	Road	4	5	264	6	low	6	1637
6290	F	Road	6	5	309	4	low	6	1463
6291	A	Road	5	5	298	4	low	8	1631
6292	B	Road	5	5	265	5	medium	8	1867
6293	C	Road	6	1	246	4	medium	4	1504
6294	F	Road	5	2	222	5	low	1	1672
6295	D	Road	7	5	250	4	low	2	1296
6296	F	Road	4	3	240	5	medium	5	1301
6297	A	Road	4	3	246	6	low	10	1176
6298	B	Flight	6	1	293	5	medium	7	1052
6299	C	Flight	6	5	253	4	medium	1	1977
6300	F	Flight	5	5	258	5	medium	7	1819
6301	D	Flight	6	4	258	4	low	2	1051
6302	F	Flight	5	3	245	5	medium	3	1851
6303	A	Flight	7	2	307	4	medium	2	1073
6304	B	Flight	6	5	301	4	low	3	1958
6305	C	Flight	6	5	252	4	low	2	1249
6306	F	Flight	5	1	272	6	medium	2	1681
6307	D	Flight	5	3	221	5	low	2	1630
6308	F	Flight	5	3	247	5	low	10	1699
6309	A	Flight	7	5	260	4	low	3	1930
6310	B	Flight	5	5	251	6	medium	4	1077
6311	C	Flight	5	2	227	5	medium	9	1917
6312	F	Flight	6	5	269	4	low	9	1826
6313	D	Flight	6	2	161	4	low	10	1683
6314	F	Flight	4	4	256	5	low	9	1622
6315	A	Flight	5	1	303	5	medium	9	1203
6316	B	Flight	5	3	257	5	medium	7	1565
6317	C	Flight	7	3	310	4	medium	8	1497
6318	F	Flight	5	3	238	5	medium	2	1150
6319	D	Flight	6	3	191	6	medium	2	4471
6320	F	Ship	4	3	252	3	medium	7	4852
6321	A	Ship	5	5	228	3	medium	8	4731
6322	B	Ship	4	3	208	2	medium	4	4767
6323	C	Ship	3	3	176	3	low	1	5168
6324	F	Ship	3	1	233	3	low	7	4874
6325	D	Ship	5	5	104	4	low	2	5235
6326	F	Ship	3	4	237	3	low	1	5980
6327	A	Ship	2	5	252	3	medium	7	5281
6328	B	Ship	5	2	135	3	medium	9	5173
6329	C	Ship	5	5	137	2	low	8	5111
6330	F	Ship	4	3	228	3	medium	1	5129
6331	D	Ship	4	3	236	4	medium	1	5783
6332	F	Ship	3	4	239	4	medium	8	4537
6333	A	Ship	2	2	199	3	low	1	4697
6334	B	Ship	3	4	269	2	medium	2	4177
6335	C	Ship	2	2	226	3	low	5	5875
6336	F	Ship	3	1	264	3	low	5	5043
6337	D	Ship	5	4	264	3	medium	10	4025
6338	F	Ship	4	3	186	3	low	2	4437
6339	A	Ship	3	5	154	3	high	2	4219
6340	B	Ship	3	1	239	2	medium	2	5757
6341	C	Ship	3	5	139	2	low	7	4449
6342	F	Ship	5	4	138	2	medium	8	5885
6343	D	Ship	3	1	286	4	medium	4	5106
6344	F	Ship	4	3	275	5	low	2	4622
6345	A	Ship	4	5	195	2	low	2	4008
6346	B	Ship	3	4	267	3	high	8	5337
6347	C	Ship	4	3	223	3	medium	7	5935
6348	F	Ship	4	4	198	2	low	6	5520
6349	D	Ship	6	5	250	2	low	7	4724
6350	F	Ship	3	3	237	4	low	8	5761
6351	A	Ship	5	4	193	3	medium	4	5873
6352	B	Ship	5	2	216	4	medium	9	5804
6353	C	Ship	3	2	253	2	medium	2	4567
6354	F	Ship	3	1	132	3	low	2	4785
6355	D	Ship	5	4	140	4	low	3	4018
6356	F	Ship	2	4	114	4	low	9	4452
6357	A	Ship	3	5	238	6	medium	8	5620
6358	B	Ship	3	1	210	2	low	9	5932
6359	C	Ship	4	4	272	4	medium	4	4363
6360	F	Ship	4	5	184	3	medium	9	5594
6361	D	Ship	4	1	168	2	low	3	4665
6362	F	Ship	4	2	231	5	low	7	4718
6363	A	Ship	4	1	143	2	medium	5	4057
6364	B	Ship	4	2	182	3	medium	9	5735
6365	C	Ship	2	4	221	3	low	3	4076
6366	F	Ship	6	1	225	6	low	8	5714
6367	D	Ship	3	5	227	3	high	9	4892
6368	F	Ship	3	1	266	3	low	5	5154
6369	A	Ship	4	2	247	4	high	9	4588
6370	B	Ship	3	2	154	3	medium	1	5322
6371	C	Ship	5	3	179	3	low	3	4131
6372	F	Ship	3	3	249	2	medium	9	4034
6373	D	Ship	3	5	156	4	low	5	4661
6374	F	Ship	3	5	206	3	low	6	4620
6375	A	Ship	4	1	245	3	medium	5	4173
6376	B	Ship	4	5	197	2	low	3	4379
6377	C	Ship	3	4	188	4	medium	5	5216
6378	F	Ship	3	3	237	2	low	2	4263
6379	D	Ship	4	4	174	2	medium	2	5892
6380	F	Ship	5	3	266	3	low	4	4969
6381	A	Ship	3	3	151	3	low	7	4611
6382	B	Ship	4	3	271	2	medium	9	4967
6383	C	Ship	4	1	214	2	low	10	4447
6384	F	Ship	6	5	261	5	low	1	5442
6385	D	Ship	3	1	166	2	high	6	5905
6386	F	Ship	3	4	269	2	low	8	5294
6387	A	Ship	3	2	167	3	medium	5	5995
6388	B	Ship	4	1	200	2	medium	5	5249
6389	C	Ship	4	4	159	3	low	1	4194
6390	F	Ship	4	2	197	2	low	1	4977
6391	D	Ship	4	5	219	2	high	4	4069
6392	F	Ship	3	2	239	3	low	10	4486
6393	A	Ship	3	1	146	2	medium	8	5375
6394	B	Ship	5	1	173	2	low	4	4242
6395	C	Ship	4	3	220	3	low	6	4894
6396	F	Ship	3	5	185	3	medium	5	4317
6397	D	Ship	4	2	170	2	medium	5	4996
6398	F	Ship	4	3	250	3	high	4	5272
6399	A	Ship	3	4	145	3	low	7	4079
6400	B	Ship	3	2	211	4	high	1	5831
6401	C	Ship	5	5	249	3	low	1	4274
6402	F	Ship	3	3	237	2	medium	8	5516
6403	D	Ship	4	5	144	2	medium	8	5478
6404	F	Ship	4	4	171	3	low	6	4343
6405	A	Ship	3	1	203	3	medium	4	4965
6406	B	Ship	5	1	137	4	high	1	4042
6407	C	Ship	4	2	212	3	medium	3	5427
6408	F	Ship	3	3	209	3	high	2	4036
6409	D	Ship	3	4	223	3	low	7	5336
6410	F	Ship	3	2	164	2	medium	7	4150
6411	A	Ship	3	3	220	3	high	6	5269
6412	B	Ship	3	4	216	3	medium	3	5651
6413	C	Road	3	2	215	2	medium	7	5988
6414	F	Road	4	2	146	3	low	4	5659
6415	D	Road	5	2	168	2	low	10	5225
6416	F	Road	4	4	218	6	medium	8	5101
6417	A	Road	4	3	143	4	medium	2	4919
6418	B	Road	3	1	233	3	medium	7	5331
6419	C	Road	4	1	195	3	low	2	4418
6420	F	Road	4	2	206	2	medium	5	4635
6421	D	Road	4	5	181	3	medium	1	5310
6422	F	Road	4	2	150	4	low	1	5922
6423	A	Road	3	5	258	4	low	3	4212
6424	B	Road	4	3	149	4	medium	1	4678
6425	C	Road	5	1	163	3	low	4	4200
6426	F	Road	3	3	259	2	high	8	4481
6427	D	Road	5	1	187	2	low	7	4792
6428	F	Road	3	5	172	3	medium	1	5024
6429	A	Road	3	5	139	2	low	2	5839
6430	B	Road	5	1	203	3	low	2	4162
6431	C	Road	3	3	150	4	medium	1	4662
6432	F	Road	3	1	201	6	medium	10	5077
6433	D	Road	3	4	194	2	medium	7	5553
6434	F	Road	3	4	159	3	high	4	4756
6435	A	Flight	4	2	238	2	medium	9	4937
6436	B	Flight	3	5	189	2	low	8	4567
6437	C	Flight	2	1	173	2	high	1	4135
6438	F	Flight	4	1	171	4	medium	2	5082
6439	D	Flight	5	3	154	2	low	3	5440
6440	F	Flight	4	1	173	3	low	4	4634
6441	A	Flight	3	4	186	6	low	8	4134
6442	B	Flight	4	1	224	3	low	9	5546
6443	C	Flight	4	3	186	3	medium	9	5131
6444	F	Flight	4	4	196	3	low	5	5514
6445	D	Flight	2	2	149	3	low	4	4819
6446	F	Flight	4	3	224	2	medium	8	5961
6447	A	Flight	3	1	154	2	low	10	5594
6448	B	Flight	3	3	170	4	low	3	4049
6449	C	Flight	3	4	150	2	low	6	5987
6450	F	Flight	5	2	240	3	low	7	4744
6451	D	Flight	3	3	139	2	medium	4	5958
6452	F	Flight	3	3	251	3	medium	2	5972
6453	A	Flight	4	4	237	3	medium	4	4747
6454	B	Flight	3	2	227	3	low	4	4450
6455	C	Flight	5	5	131	5	low	1	5299
6456	F	Flight	5	2	161	3	low	8	5804
6457	D	Ship	3	5	195	3	medium	9	4224
6458	F	Ship	2	3	266	2	low	1	5356
6459	A	Ship	3	2	198	2	low	9	4250
6460	B	Ship	4	3	200	4	low	10	4291
6461	C	Ship	6	1	196	4	medium	2	5844
6462	F	Ship	2	1	285	5	low	4	5759
6463	D	Ship	4	2	265	2	low	2	5649
6464	F	Ship	3	2	131	5	low	8	5084
6465	A	Ship	5	4	216	3	medium	2	5404
6466	B	Ship	4	1	253	4	low	1	5621
6467	C	Ship	5	3	230	4	medium	4	5278
6468	F	Ship	4	1	173	4	medium	1	4684
6469	D	Ship	3	5	206	2	low	4	4080
6470	F	Ship	5	3	189	5	low	7	4869
6471	A	Ship	3	5	270	3	high	1	4078
6472	B	Ship	4	4	266	3	low	3	5531
6473	C	Ship	3	5	270	3	medium	7	5477
6474	F	Ship	3	4	216	8	medium	8	4616
6475	D	Ship	3	1	147	8	medium	6	4575
6476	F	Ship	3	2	270	6	medium	10	4725
6477	A	Ship	3	2	261	8	low	3	5171
6478	B	Ship	3	3	261	8	medium	3	4007
6479	C	Ship	4	2	177	6	low	3	4392
6480	F	Ship	4	4	142	10	high	7	4624
6481	D	Ship	5	4	222	3	medium	10	4663
6482	F	Ship	4	4	186	7	medium	9	5418
6483	A	Ship	3	2	177	3	medium	8	5006
6484	B	Ship	4	1	251	4	low	3	4433
6485	C	Ship	3	5	240	7	medium	9	5525
6486	F	Ship	3	4	260	4	medium	10	5425
6487	D	Ship	4	2	206	7	high	3	4991
6488	F	Ship	4	3	242	2	low	3	4811
6489	A	Ship	3	1	194	3	low	1	5566
6490	B	Ship	5	1	232	3	low	10	1014
6491	C	Ship	6	2	279	4	low	10	1990
6492	F	Ship	6	4	251	4	low	10	1568
6493	D	Ship	6	1	300	5	low	10	1787
6494	F	Ship	7	3	133	5	low	4	1783
6495	A	Ship	6	1	283	4	low	8	1404
6496	B	Ship	7	4	296	4	low	8	1717
6497	C	Ship	6	2	261	4	medium	8	1891
6498	F	Ship	6	2	286	4	low	3	1959
6499	D	Ship	6	1	298	4	low	1	1735
6500	F	Ship	6	1	287	4	medium	1	1581
6501	A	Ship	6	5	251	4	medium	3	1660
6502	B	Ship	5	2	231	5	low	4	1913
6503	C	Ship	5	1	249	5	medium	10	1561
6504	F	Ship	5	2	244	5	low	10	1699
6505	D	Ship	7	1	264	4	medium	9	1829
6506	F	Ship	5	1	254	5	medium	10	1020
6507	A	Ship	4	4	264	6	low	6	1758
6508	B	Ship	6	4	309	4	low	9	1771
6509	C	Ship	5	1	298	4	low	4	1853
6510	F	Ship	5	5	265	5	medium	1	1568
6511	D	Ship	6	2	246	4	medium	7	1071
6512	F	Ship	5	2	222	5	low	5	1329
6513	A	Ship	7	5	250	4	low	1	1690
6514	B	Ship	4	2	240	5	medium	7	1711
6515	C	Ship	4	1	246	6	low	6	1335
6516	F	Ship	6	2	293	5	medium	4	1281
6517	D	Ship	5	5	189	5	low	3	5254
6518	F	Ship	3	5	270	3	high	7	4459
6519	A	Ship	4	4	266	3	low	10	5221
6520	B	Ship	3	2	270	3	medium	9	5873
6521	C	Ship	3	3	216	8	medium	4	5329
6522	F	Ship	3	3	147	8	medium	7	5822
6523	D	Ship	3	5	270	6	medium	9	4195
6524	F	Ship	3	3	261	8	low	10	4145
6525	A	Ship	3	1	261	8	medium	9	5248
6526	B	Ship	4	4	177	6	low	6	5451
6527	C	Ship	4	2	142	10	high	9	4280
6528	F	Ship	5	3	222	3	medium	10	4597
6529	D	Ship	4	5	186	7	medium	1	4357
6530	F	Ship	3	3	177	3	medium	10	5374
6531	A	Ship	4	4	251	4	low	1	4252
6532	B	Ship	3	3	240	7	medium	3	4385
6533	C	Ship	3	5	260	4	medium	8	4162
6534	F	Ship	4	2	206	7	high	7	5479
6535	D	Ship	4	5	242	2	low	4	5341
6536	F	Ship	3	2	194	3	low	3	5779
6537	A	Ship	5	2	232	3	low	1	1187
6538	B	Ship	6	4	279	4	low	1	1246
6539	C	Ship	6	3	251	4	low	1	1230
6540	F	Ship	6	2	300	5	low	3	1696
6541	D	Ship	7	5	133	5	low	7	1239
6542	F	Ship	6	4	283	4	low	10	1512
6543	A	Ship	7	5	296	4	low	2	1823
6544	B	Ship	6	1	261	4	medium	8	1524
6545	C	Ship	6	3	286	4	low	5	1750
6546	F	Ship	6	5	298	4	low	3	1520
6547	D	Ship	6	3	287	4	medium	8	1850
6548	F	Ship	6	2	251	4	medium	6	1864
6549	A	Ship	5	4	231	5	low	10	1247
6550	B	Road	5	1	249	5	medium	1	1654
6551	C	Road	5	5	244	5	low	5	1787
6552	F	Road	7	3	264	4	medium	3	1296
6553	D	Road	5	4	254	5	medium	7	1545
6554	F	Road	4	1	264	6	low	7	1007
6555	A	Road	6	2	309	4	low	6	1335
6556	B	Road	5	1	298	4	low	4	1551
6557	C	Road	5	3	265	5	medium	6	1929
6558	F	Road	6	2	246	4	medium	7	1297
6559	D	Road	5	5	222	5	low	4	1311
6560	F	Road	7	1	250	4	low	9	1890
6561	A	Road	6	5	269	4	low	2	1243
6562	B	Road	6	2	161	4	low	9	1377
6563	C	Road	4	3	256	5	low	5	1533
6564	F	Road	5	1	303	5	medium	4	1009
6565	D	Road	5	3	257	5	medium	3	1953
6566	F	Road	5	2	259	5	low	3	1724
6567	A	Road	4	4	249	6	low	1	1398
6568	B	Road	6	2	289	4	high	3	1116
6569	C	Road	6	2	308	5	medium	6	1118
6570	F	Road	6	3	297	4	medium	2	1520
6571	D	Road	4	2	255	5	low	1	1353
6572	F	Flight	6	4	266	4	low	9	1253
6573	A	Flight	7	5	302	4	low	3	1597
6574	B	Flight	4	4	223	5	medium	4	1344
6575	C	Flight	6	1	261	4	low	6	1703
6576	F	Flight	4	1	273	5	low	7	1922
6577	D	Flight	6	5	260	4	low	2	1221
6578	F	Flight	5	1	266	5	low	9	1852
6579	A	Flight	2	1	164	5	low	8	1886
6580	B	Flight	5	5	240	6	medium	9	1117
6581	C	Flight	6	5	305	4	medium	10	1418
6582	F	Flight	5	3	248	5	low	7	1475
6583	D	Flight	7	2	279	4	medium	1	1480
6584	F	Flight	5	2	244	6	low	7	1315
6585	A	Flight	5	1	267	5	low	4	1097
6586	B	Flight	7	2	275	4	medium	6	1513
6587	C	Flight	6	4	299	4	medium	9	1036
6588	F	Flight	6	1	254	4	medium	3	1488
6589	D	Flight	6	1	273	4	medium	6	1524
6590	F	Flight	5	3	218	5	low	6	1278
6591	A	Flight	5	4	267	5	medium	10	1837
6592	B	Flight	6	2	259	4	medium	6	1066
6593	C	Flight	7	4	272	4	low	3	1805
6594	F	Ship	5	4	281	4	medium	8	1220
6595	D	Ship	6	2	267	4	medium	1	1935
6596	F	Ship	6	4	260	4	medium	10	1927
6597	A	Ship	7	2	261	4	medium	9	1918
6598	B	Ship	4	1	219	2	medium	2	1752
6599	C	Ship	4	3	264	5	medium	3	1639
6600	F	Ship	7	3	310	5	low	5	1563
6601	D	Ship	6	4	297	5	high	6	1631
6602	F	Ship	4	3	274	5	low	5	1512
6603	A	Ship	5	5	246	5	medium	6	1053
6604	B	Ship	5	3	221	6	medium	3	1960
6605	C	Ship	6	3	295	4	low	10	1495
6606	F	Ship	7	4	259	4	low	6	1697
6607	D	Ship	4	4	138	3	medium	7	1597
6608	F	Ship	3	5	250	2	low	9	1205
6609	A	Ship	5	1	236	6	medium	4	1705
6610	B	Ship	5	1	267	5	medium	10	1505
6611	C	Ship	6	4	283	4	medium	1	1384
6612	F	Ship	7	1	244	4	low	8	1817
6613	D	Ship	5	2	260	5	low	9	1809
6614	F	Ship	5	1	276	5	medium	5	1358
6615	A	Ship	7	3	307	4	low	4	1653
6616	B	Ship	6	5	266	4	low	8	1709
6617	C	Ship	5	2	237	5	medium	6	1084
6618	F	Ship	4	4	251	6	medium	4	1869
6619	D	Ship	4	1	247	6	low	4	1349
6620	F	Ship	3	3	279	4	low	3	4620
6621	A	Ship	5	5	230	3	low	10	5163
6622	B	Ship	4	5	234	3	low	4	5100
6623	C	Ship	6	5	152	4	medium	8	5351
6624	F	Ship	3	4	160	4	medium	9	4733
6625	D	Ship	3	2	263	3	low	3	5303
6626	F	Ship	4	1	164	3	low	4	5910
6627	A	Ship	3	3	209	2	medium	1	5098
6628	B	Ship	5	1	245	3	low	9	4694
6629	C	Ship	3	4	172	2	low	5	5919
6630	F	Ship	2	5	180	6	medium	7	4907
6631	D	Ship	3	3	145	3	medium	8	4522
6632	F	Ship	3	4	248	3	medium	6	4932
6633	A	Ship	5	4	242	3	high	4	4805
6634	B	Ship	4	3	237	3	medium	8	5045
6635	C	Ship	4	4	203	2	low	4	4793
6636	F	Ship	3	4	186	4	low	6	4403
6637	D	Ship	4	1	155	5	low	1	5986
6638	F	Ship	3	4	153	4	low	5	5604
6639	A	Ship	3	2	199	2	medium	10	4659
6640	B	Ship	4	5	219	3	medium	8	4605
6641	C	Ship	4	1	156	2	low	8	5488
6642	F	Ship	5	5	135	2	low	1	4324
6643	D	Ship	3	4	244	3	medium	2	5389
6644	F	Ship	5	1	183	3	low	10	5023
6645	A	Ship	4	3	258	2	low	3	4555
6646	B	Ship	6	2	168	2	low	3	5853
6647	C	Ship	5	1	161	2	medium	10	4108
6648	F	Ship	4	2	246	2	low	2	4497
6649	D	Ship	3	3	232	4	medium	3	5828
6650	F	Ship	3	3	155	2	medium	5	5577
6651	A	Ship	5	5	162	2	medium	6	5868
6652	B	Ship	4	3	123	4	medium	6	4166
6653	C	Ship	3	4	235	2	low	10	4575
6654	F	Ship	5	1	179	2	low	3	5417
6655	D	Ship	3	5	202	2	medium	3	5746
6656	F	Ship	4	5	272	2	medium	1	5378
6657	A	Ship	4	2	185	3	medium	1	5338
6658	B	Ship	3	3	188	2	medium	2	4336
6659	C	Ship	3	2	250	4	low	3	5449
6660	F	Ship	5	3	224	4	low	7	4553
6661	D	Ship	4	1	261	3	low	10	5943
6662	F	Ship	3	1	200	2	medium	8	4337
6663	A	Ship	4	1	200	4	medium	3	5837
6664	B	Ship	2	1	143	3	low	4	4512
6665	C	Ship	3	4	199	3	low	7	5089
6666	F	Ship	4	5	157	3	medium	2	5791
6667	D	Ship	3	2	225	3	high	5	4304
6668	F	Ship	3	3	152	2	medium	3	4193
6669	A	Ship	4	4	236	2	medium	6	5101
6670	B	Ship	3	1	266	5	low	1	5459
6671	C	Ship	3	2	243	4	medium	4	4410
6672	F	Ship	4	5	224	6	high	5	5659
6673	D	Ship	3	5	153	4	low	10	5897
6674	F	Ship	4	2	232	3	medium	7	5737
6675	A	Ship	3	3	253	3	medium	5	4754
6676	B	Ship	3	3	150	3	low	5	5328
6677	C	Ship	4	3	198	2	low	5	5724
6678	F	Ship	4	4	231	3	low	9	4305
6679	D	Ship	3	5	135	2	medium	9	5614
6680	F	Ship	5	4	153	3	low	5	4711
6681	A	Ship	4	2	201	2	low	3	4869
6682	B	Ship	4	4	273	2	medium	6	5676
6683	C	Ship	5	4	245	3	high	4	4298
6684	F	Ship	4	4	157	2	low	9	4491
6685	D	Ship	4	3	150	2	high	8	4965
6686	F	Ship	3	3	243	2	low	3	4675
6687	A	Road	4	5	105	5	high	4	5824
6688	B	Road	5	4	221	5	low	6	5059
6689	C	Road	3	1	236	6	medium	10	4858
6690	F	Road	4	4	263	3	medium	5	4193
6691	D	Road	3	3	213	2	low	10	5495
6692	F	Road	6	1	259	3	low	3	5683
6693	A	Road	4	2	190	3	medium	7	4766
6694	B	Road	3	5	213	4	medium	9	5550
6695	C	Road	5	3	261	4	medium	5	4623
6696	F	Road	3	5	254	3	medium	5	4946
6697	D	Road	3	4	151	4	medium	1	4587
6698	F	Road	5	1	187	4	medium	9	5657
6699	A	Road	4	5	139	2	medium	1	4606
6700	B	Road	5	2	173	2	high	10	4741
6701	C	Road	3	3	136	3	low	10	5175
6702	F	Road	4	1	272	4	high	1	5597
6703	D	Road	6	4	116	3	low	6	4649
6704	F	Road	4	2	181	3	low	10	4212
6705	A	Road	5	3	230	3	medium	4	4914
6706	B	Road	2	5	127	3	medium	3	5964
6707	C	Road	3	1	182	3	low	2	5760
6708	F	Road	3	1	186	2	medium	7	4556
6709	D	Flight	5	1	271	4	low	3	4610
6710	F	Flight	5	3	171	2	medium	1	5385
6711	A	Flight	4	3	238	2	medium	2	5328
6712	B	Flight	4	4	184	3	low	8	4453
6713	C	Flight	5	2	214	2	low	8	4767
6714	F	Flight	4	4	279	6	medium	5	4898
6715	D	Flight	3	2	168	4	low	1	4184
6716	F	Flight	6	4	221	5	medium	8	4511
6717	A	Flight	3	5	260	3	medium	7	5379
6718	B	Flight	4	3	204	3	medium	2	5010
6719	C	Flight	4	2	142	3	medium	6	4918
6720	F	Flight	4	3	178	3	medium	3	5669
6721	D	Flight	2	1	203	3	medium	6	4234
6722	F	Flight	4	2	180	4	medium	9	4329
6723	A	Flight	4	4	193	3	medium	3	4596
6724	B	Flight	5	4	99	2	high	4	4259
6725	C	Flight	3	1	250	3	low	1	4347
6726	F	Flight	4	1	152	3	medium	3	4250
6727	D	Flight	4	1	265	2	low	10	5418
6728	F	Flight	2	3	226	2	medium	2	4566
6729	A	Flight	3	3	234	3	low	3	4405
6730	B	Flight	4	3	225	2	high	4	4732
6731	C	Ship	3	5	161	2	medium	9	4623
6732	F	Ship	5	2	246	3	medium	10	5110
6733	D	Ship	4	5	162	3	medium	10	4850
6734	F	Ship	4	4	135	3	medium	2	5016
6735	A	Ship	4	3	201	2	low	10	4875
6736	B	Ship	6	4	235	6	low	1	5533
6737	C	Ship	5	2	214	2	low	10	5192
6738	F	Ship	6	3	245	5	medium	8	5678
6739	D	Ship	5	5	192	2	low	10	5564
6740	F	Ship	5	5	179	5	low	3	4333
6741	A	Ship	6	3	210	4	medium	9	5440
6742	B	Ship	3	2	209	2	medium	2	4635
6743	C	Ship	4	2	200	3	medium	7	4323
6744	F	Ship	6	3	165	5	medium	5	4871
6745	D	Ship	3	5	168	3	medium	7	4296
6746	F	Ship	4	4	203	2	low	10	5192
6747	A	Ship	4	5	202	3	medium	8	5416
6748	B	Ship	4	2	266	3	medium	2	5252
6749	C	Ship	2	1	248	6	low	2	5182
6750	F	Ship	5	3	173	3	low	5	5395
6751	D	Ship	2	4	156	3	medium	8	5668
6752	F	Ship	3	5	109	2	high	2	5978
6753	A	Ship	3	4	250	3	low	6	4830
6754	B	Ship	2	4	195	4	medium	3	5641
6755	C	Ship	4	1	160	5	low	10	4018
6756	F	Ship	2	5	189	3	low	5	5320
6757	D	Ship	4	3	239	3	medium	9	5897
6758	F	Ship	3	3	204	2	medium	5	5399
6759	A	Ship	4	5	156	3	low	5	4610
6760	B	Ship	5	2	192	3	high	7	5695
6761	C	Ship	4	2	233	2	low	7	5546
6762	F	Ship	5	3	253	3	low	3	5944
6763	D	Ship	2	1	277	6	low	10	4165
6764	F	Ship	4	2	211	2	low	9	5883
6765	A	Ship	6	4	172	6	medium	10	5554
6766	B	Ship	5	4	211	4	low	4	4498
6767	C	Ship	2	3	248	4	high	2	4521
6768	F	Ship	3	4	176	3	medium	4	5623
6769	D	Ship	4	1	100	6	medium	6	5841
6770	F	Ship	5	5	195	4	low	1	4393
6771	A	Ship	3	2	137	3	low	4	5617
6772	B	Ship	4	4	195	4	medium	2	5464
6773	C	Ship	2	5	185	3	low	9	5810
6774	F	Ship	3	1	250	2	medium	9	4753
6775	D	Ship	3	2	150	3	low	2	4660
6776	F	Ship	3	1	166	3	medium	9	4251
6777	A	Ship	4	5	257	2	medium	5	4127
6778	B	Ship	5	1	249	3	medium	5	4392
6779	C	Ship	5	5	268	3	medium	7	4480
6780	F	Ship	4	4	273	3	low	3	5749
6781	D	Ship	5	5	246	3	medium	9	4107
6782	F	Ship	5	1	142	6	medium	1	4843
6783	A	Ship	5	2	168	2	low	6	5464
6784	B	Ship	5	2	249	3	low	9	5978
6785	C	Ship	3	1	220	3	medium	6	5319
6786	F	Ship	4	3	189	2	low	7	4765
6787	D	Ship	5	2	237	4	low	5	5623
6788	F	Ship	4	4	247	3	high	2	5324
6789	A	Ship	3	4	250	6	medium	1	4543
6790	B	Ship	4	4	207	10	low	1	4602
6791	C	Ship	4	4	201	10	low	3	4202
6792	F	Ship	4	2	142	2	low	6	5326
6793	D	Ship	3	1	207	2	low	7	4639
6794	F	Ship	3	1	214	2	high	10	4310
6795	A	Ship	4	3	134	10	medium	8	4337
6796	B	Ship	3	4	178	8	medium	6	4146
6797	C	Ship	4	1	186	2	low	4	4686
6798	F	Ship	4	4	250	3	low	10	4505
6799	D	Ship	4	3	172	3	medium	10	5434
6800	F	Ship	3	4	265	10	low	10	4049
6801	A	Ship	3	2	158	7	medium	10	4244
6802	B	Ship	3	1	180	7	medium	10	5536
6803	C	Ship	4	2	173	3	high	3	5364
6804	F	Ship	3	3	153	10	medium	10	5772
6805	D	Ship	4	4	182	3	high	7	5197
6806	F	Ship	3	1	192	3	low	9	5004
6807	A	Ship	6	5	285	7	medium	9	4112
6808	B	Ship	3	3	151	6	low	6	4279
6809	C	Ship	3	3	242	2	low	7	4501
6810	F	Ship	3	1	237	3	medium	4	5860
6811	D	Ship	5	2	259	5	low	7	1032
6812	F	Ship	4	3	249	6	low	2	1046
6813	A	Ship	6	3	289	4	high	5	1708
6814	B	Ship	6	3	308	5	medium	4	1118
6815	C	Ship	6	3	297	4	medium	2	1954
6816	F	Ship	4	1	255	5	low	4	1005
6817	D	Ship	6	1	266	4	low	9	1287
